Country,2018,2016,2011,Code
India, 37, 32, 32,IND
Brazilië,29,19,20,BRA
Verenigde Staten,26,34,15,USA
België,25,13,12,BEL
Zuid-Afrika,26,25,10,ZAF
Maleisië,23,--,--,MYS
Zweden,23,20,14,SWE
Canada,20,17,18,CAN
Turkije,20,14,5,TUR
Saudi-Arabië,19,17,18,SAU
Australië,19,20,13,AUS
Mexico,18,20,8,MEX
Verenigd Koninkrijk,18,15,11,GBR
China,17,20,11,CHN
Servië,16,--,--,SRB
Duitsland,14,9,7,DEU
Argentinië,14,10,9,ARG
Peru,14,13,--,PER
Zuid-Korea,13,9,8,KOR
Italië,12,11,3,ITA
Polen,12,18,12,POL
Roemenië,11,--,--,ROU
Hongarije,10,11,7,HUN
Spanje,9,10,5,ESP
Frankrijk,9,7,5,FRA
Chili,8,--,--,CHL
Japan,5,7,7,JPN
Rusland,1,9,5,RUS